ID,주문 일시,결제 금액,카테고리,상품명,상품 가격,수량,합계
2311190366810549,2023.11.19 13:06:51,32000,점심/인룸다이닝 ,김치찌개 (점심),32000,1,32000
2311190366585450,2023.11.19 13:03:06,127000,안주&후식류/ 인룸다이닝 ,키위 주스 ,14000,1,14000
2311190366585450,2023.11.19 13:03:06,127000,안주&후식류/ 인룸다이닝 ,낙지볶음과 소면 ,66000,1,66000
2311190366585450,2023.11.19 13:03:06,127000,점심/인룸다이닝 ,공기밥(점심),2000,1,2000
2311190366585450,2023.11.19 13:03:06,127000,점심/인룸다이닝 ,한우 버섯 불고기 정식 (점심),45000,1,45000
2311190359218435,2023.11.19 11:00:18,37000,점심/인룸다이닝 ,활 전복 쥐눈이콩 된장찌개 (점심),37000,1,37000
2311190358415051,2023.11.19 10:46:55,50000,아침/인룸다이닝 ,한국식 조찬 (아침),36000,1,36000
2311190358415051,2023.11.19 10:46:55,50000,안주&후식류/ 인룸다이닝 ,키위 주스 ,14000,1,14000
2311190357321645,2023.11.19 10:28:42,186000,아침/인룸다이닝 ,활전복 쥐눈이콩 된장찌개 (아침),37000,2,74000
2311190357321645,2023.11.19 10:28:42,186000,아침/인룸다이닝 ,공기밥(추가),2000,2,4000
2311190357321645,2023.11.19 10:28:42,186000,아침/인룸다이닝 ,간고등어구이 정식 (아침),38000,2,76000
2311190357321645,2023.11.19 10:28:42,186000,아침/인룸다이닝 ,김치찌개 (아침),32000,1,32000
2311190353552427,2023.11.19 09:25:53,32000,아침/인룸다이닝 ,김치찌개 (아침),32000,1,32000
2311190349513371,2023.11.19 08:18:34,77000,아침/인룸다이닝 ,한국식 조찬 (아침),36000,1,36000
2311190349513371,2023.11.19 08:18:34,77000,음료/ 인룸다이닝 ,아이스 커피,9000,1,9000
2311190349513371,2023.11.19 08:18:34,77000,아침/인룸다이닝 ,김치찌개 (아침),32000,1,32000
2311190348989772,2023.11.19 08:09:50,37000,아침/인룸다이닝 ,활전복 쥐눈이콩 된장찌개 (아침),37000,1,37000
2311190341812572,2023.11.19 06:10:13,46000,아침/인룸다이닝 ,김치찌개 (아침),32000,1,32000
2311190341812572,2023.11.19 06:10:13,46000,음료/ 인룸다이닝 ,1340문배주,14000,1,14000
2311190338655599,2023.11.19 05:17:36,37000,아침/인룸다이닝 ,활전복 쥐눈이콩 된장찌개 (아침),37000,1,37000
2311190334407282,2023.11.19 04:06:48,35000,아침/인룸다이닝 ,활 전복죽 (아침),35000,1,35000
2311190325314997,2023.11.19 01:35:15,53000,안주&후식류/ 인룸다이닝 ,계절과일과 모둠치즈 ,53000,1,53000
2311190322516760,2023.11.19 00:48:37,51000,안주&후식류/ 인룸다이닝 ,후라이드 닭다리살과 통 오징어 튀김,51000,1,51000
2311180319073450,2023.11.18 23:51:13,32000,심야/ 인룸다이닝 ,김치찌개 (심야),32000,1,32000
2311180317520605,2023.11.18 23:25:21,34000,심야/ 인룸다이닝 ,공기밥(심야),2000,1,2000
2311180317520605,2023.11.18 23:25:21,34000,심야/ 인룸다이닝 ,김치찌개 (심야),32000,1,32000
2311180316196255,2023.11.18 23:03:16,53000,안주&후식류/ 인룸다이닝 ,계절과일과 모둠치즈 ,53000,1,53000
2311180316060113,2023.11.18 23:00:57,43000,음료/ 인룸다이닝 ,아이스 커피,9000,1,9000
2311180316060113,2023.11.18 23:00:57,43000,심야/ 인룸다이닝 ,김치찌개 (심야),32000,1,32000
2311180316060113,2023.11.18 23:00:57,43000,심야/ 인룸다이닝 ,공기밥(심야),2000,1,2000
2311180315739121,2023.11.18 22:55:40,156000,음료/ 인룸다이닝 ,하우스 1340 레드(칠레),56000,1,56000
2311180315739121,2023.11.18 22:55:40,156000,안주&후식류/ 인룸다이닝 ,낙지볶음과 소면 ,66000,1,66000
2311180315739121,2023.11.18 22:55:40,156000,심야/ 인룸다이닝 ,크레마 디 만조(안심크림소스 파스타),34000,1,34000
2311180312735852,2023.11.18 22:05:36,146000,안주&후식류/ 인룸다이닝 ,계절과일과 모둠치즈 ,53000,1,53000
2311180312735852,2023.11.18 22:05:36,146000,안주&후식류/ 인룸다이닝 ,오렌지 주스 ,14000,3,42000
