ID,주문 일시,결제 금액,카테고리,상품명,상품 가격,수량,합계
2311190331665459,2023.11.19 03:21:06,21000,스낵,스낵세트(4종),10000,1,10000
2311190331665459,2023.11.19 03:21:06,21000,주류,하이네켄,5500,2,11000
2311190326117602,2023.11.19 01:48:38,7900,음료,랭거스 망고,3500,1,3500
2311190326117602,2023.11.19 01:48:38,7900,잡화,친환경 칫솔,2200,2,4400
2311190324667073,2023.11.19 01:24:27,4400,잡화,친환경 칫솔,2200,1,2200
2311190324667073,2023.11.19 01:24:27,4400,잡화,페리오 치약,2200,1,2200
2311190322559600,2023.11.19 00:49:20,13200,주류,하이네켄,5500,2,11000
2311190322559600,2023.11.19 00:49:20,13200,잡화,친환경 칫솔,2200,1,2200
2311190320252467,2023.11.19 00:10:53,22000,주류,카스,4400,4,17600
2311190320252467,2023.11.19 00:10:53,22000,잡화,페리오 치약,2200,1,2200
2311190320252467,2023.11.19 00:10:53,22000,잡화,친환경 칫솔,2200,1,2200
2311180317583273,2023.11.18 23:26:24,6600,잡화,페리오 치약,2200,1,2200
2311180317583273,2023.11.18 23:26:24,6600,잡화,친환경 칫솔,2200,2,4400
2311180317571633,2023.11.18 23:26:11,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311180317395206,2023.11.18 23:23:15,4400,잡화,친환경 칫솔,2200,1,2200
2311180317395206,2023.11.18 23:23:15,4400,잡화,페리오 치약,2200,1,2200
2311180317254890,2023.11.18 23:20:55,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311180317006046,2023.11.18 23:16:46,17700,주류,하이네켄,5500,1,5500
2311180317006046,2023.11.18 23:16:46,17700,스낵,스낵세트(4종),10000,1,10000
2311180317006046,2023.11.18 23:16:46,17700,음료,코카콜라,2200,1,2200
2311180316552303,2023.11.18 23:09:12,8800,음료,게토레이,2200,1,2200
2311180316552303,2023.11.18 23:09:12,8800,음료,코카콜라,2200,2,4400
2311180316552303,2023.11.18 23:09:12,8800,잡화,친환경 칫솔,2200,1,2200
2311180314014874,2023.11.18 22:26:55,4400,잡화,페리오 치약,2200,1,2200
2311180314014874,2023.11.18 22:26:55,4400,잡화,친환경 칫솔,2200,1,2200
2311180313324758,2023.11.18 22:15:25,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311180311785339,2023.11.18 21:49:46,9900,주류,카스,4400,1,4400
2311180311785339,2023.11.18 21:49:46,9900,주류,하이네켄,5500,1,5500
2311180311749675,2023.11.18 21:49:09,10000,스낵,스낵세트(4종),10000,1,10000
2311180310407456,2023.11.18 21:26:48,6600,잡화,친환경 칫솔,2200,2,4400
2311180310407456,2023.11.18 21:26:48,6600,잡화,페리오 치약,2200,1,2200
2311180310227160,2023.11.18 21:23:47,13000,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311180310227160,2023.11.18 21:23:47,13000,스낵,커널스 카라멜&쏠트 팝콘,3000,1,3000
2311180309721864,2023.11.18 21:15:23,22000,잡화,면도기,22000,1,22000
2311180309500902,2023.11.18 21:11:42,10000,스낵,스낵세트(4종),10000,1,10000
2311180307000367,2023.11.18 20:30:01,8800,주류,카스,4400,2,8800
2311180293014776,2023.11.18 16:36:56,2200,잡화,페리오 치약,2200,1,2200
2311180270766185,2023.11.18 10:26:07,5700,음료,코카콜라,2200,1,2200
2311180270766185,2023.11.18 10:26:07,5700,음료,스타벅스 파이크 플레이스 로스트,3500,1,3500
2311180267656590,2023.11.18 09:34:17,6600,잡화,페리오 치약,2200,1,2200
2311180267656590,2023.11.18 09:34:17,6600,잡화,친환경 칫솔,2200,2,4400
2311180254070214,2023.11.18 05:47:51,11000,주류,하이네켄,5500,2,11000
2311180244263814,2023.11.18 03:04:23,9900,주류,하이네켄,5500,1,5500
2311180244263814,2023.11.18 03:04:23,9900,주류,카스,4400,1,4400
2311180241611734,2023.11.18 02:20:12,22200,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311180241611734,2023.11.18 02:20:12,22200,잡화,페리오 치약,2200,1,2200
2311180237979152,2023.11.18 01:19:39,8800,주류,카스,4400,1,4400
2311180237979152,2023.11.18 01:19:39,8800,잡화,페리오 치약,2200,1,2200
2311180237979152,2023.11.18 01:19:39,8800,잡화,친환경 칫솔,2200,1,2200
2311180236677054,2023.11.18 00:57:57,4400,주류,카스,4400,1,4400
2311180236225533,2023.11.18 00:50:26,6600,잡화,친환경 칫솔,2200,2,4400
2311180236225533,2023.11.18 00:50:26,6600,잡화,페리오 치약,2200,1,2200
2311180234769080,2023.11.18 00:26:09,14400,주류,카스,4400,1,4400
2311180234769080,2023.11.18 00:26:09,14400,스낵,스낵세트(4종),10000,1,10000
2311170231928189,2023.11.17 23:38:49,29800,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311170231928189,2023.11.17 23:38:49,29800,잡화,페리오 치약,2200,1,2200
2311170231928189,2023.11.17 23:38:49,29800,주류,카스,4400,3,13200
2311170231928189,2023.11.17 23:38:49,29800,잡화,친환경 칫솔,2200,2,4400
2311170230385325,2023.11.17 23:13:06,2200,음료,코카콜라,2200,1,2200
2311170224322687,2023.11.17 21:32:03,10000,스낵,스낵세트(4종),10000,1,10000
2311170222967919,2023.11.17 21:09:31,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311170221037546,2023.11.17 20:37:18,25500,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311170221037546,2023.11.17 20:37:18,25500,스낵,커널스 카라멜&쏠트 팝콘,3000,4,12000
2311170221037546,2023.11.17 20:37:18,25500,음료,스타벅스 더블샷 에스프레소&크림,3500,1,3500
2311170218014707,2023.11.17 19:46:55,6200,잡화,페리오 치약,2200,1,2200
2311170218014707,2023.11.17 19:46:55,6200,음료,로리나 레모네이드,4000,1,4000
2311170211862419,2023.11.17 18:04:23,5700,음료,코카콜라,2200,1,2200
2311170211862419,2023.11.17 18:04:23,5700,음료,칸타타 카라멜 마끼아또,3500,1,3500
2311170164268893,2023.11.17 04:51:09,8800,주류,카스,4400,2,8800
2311170152246577,2023.11.17 01:30:47,10000,스낵,스낵세트(4종),10000,1,10000
2311170150805804,2023.11.17 01:06:45,2200,잡화,페리오 치약,2200,1,2200
2311160141226689,2023.11.16 22:27:07,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311160140548775,2023.11.16 22:15:48,2200,잡화,페리오 치약,2200,1,2200
2311160115485436,2023.11.16 15:18:06,6600,잡화,페리오 치약,2200,1,2200
2311160115485436,2023.11.16 15:18:06,6600,잡화,친환경 칫솔,2200,2,4400
2311160106483641,2023.11.16 12:48:04,16000,스낵,커널스 카라멜&쏠트 팝콘,3000,2,6000
2311160106483641,2023.11.16 12:48:04,16000,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311160084230104,2023.11.16 06:37:10,22000,잡화,면도기,22000,1,22000
2311160082754608,2023.11.16 06:12:35,23200,스낵,스낵세트(4종),10000,1,10000
2311160082754608,2023.11.16 06:12:35,23200,주류,카스,4400,3,13200
2311160072604706,2023.11.16 03:23:44,18800,스낵,스낵세트(4종),10000,1,10000
2311160072604706,2023.11.16 03:23:44,18800,주류,카스,4400,2,8800
2311160069270223,2023.11.16 02:27:50,28700,주류,카스,4400,1,4400
2311160069270223,2023.11.16 02:27:50,28700,잡화,케빈클라인 양말(검정),8800,1,8800
2311160069270223,2023.11.16 02:27:50,28700,주류,하이네켄,5500,1,5500
2311160069270223,2023.11.16 02:27:50,28700,스낵,스낵세트(4종),10000,1,10000
2311160067852300,2023.11.16 02:04:14,8800,주류,카스,4400,2,8800
2311160067409359,2023.11.16 01:56:49,9000,스낵,커널스 카라멜&쏠트 팝콘,3000,3,9000
2311160063787755,2023.11.16 00:56:28,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311150044032845,2023.11.15 19:27:29,3500,음료,스타벅스 파이크 플레이스 로스트,3500,1,3500
2311150037951079,2023.11.15 17:45:52,30000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311150037951079,2023.11.15 17:45:52,30000,스낵,스낵세트(4종),10000,1,10000
2311150026380140,2023.11.15 14:33:00,10500,음료,스타벅스 파이크 플레이스 로스트,3500,1,3500
2311150026380140,2023.11.15 14:33:00,10500,음료,스타벅스 더블샷 에스프레소&크림,3500,2,7000
2311150000259298,2023.11.15 07:17:39,3500,음료,스타벅스 파이크 플레이스 로스트,3500,1,3500
2311159991886313,2023.11.15 04:58:06,16500,주류,하이네켄,5500,3,16500
2311159982713171,2023.11.15 02:25:13,17600,주류,카스,4400,4,17600
2311149968273498,2023.11.14 22:24:33,8800,스낵,머거본 믹스너트,8800,1,8800
2311149968258760,2023.11.14 22:24:19,13200,음료,에비앙,3300,4,13200
2311149889765835,2023.11.14 00:36:06,11000,주류,하이네켄,5500,2,11000
2311149889306588,2023.11.14 00:28:27,11000,주류,하이네켄,5500,2,11000
2311149888456925,2023.11.14 00:14:17,30000,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311149888456925,2023.11.14 00:14:17,30000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311139883959597,2023.11.13 22:59:20,13200,주류,카스,4400,3,13200
2311139882667871,2023.11.13 22:37:48,14300,주류,카스,4400,2,8800
2311139882667871,2023.11.13 22:37:48,14300,주류,하이네켄,5500,1,5500
2311139882109525,2023.11.13 22:28:29,14400,주류,카스,4400,1,4400
2311139882109525,2023.11.13 22:28:29,14400,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311139878069648,2023.11.13 21:21:10,6600,잡화,페리오 치약,2200,1,2200
2311139878069648,2023.11.13 21:21:10,6600,잡화,친환경 칫솔,2200,2,4400
2311139870568607,2023.11.13 19:16:08,8800,주류,카스,4400,2,8800
2311139812464579,2023.11.13 03:07:45,13200,스낵,머거본 믹스너트,8800,1,8800
2311139812464579,2023.11.13 03:07:45,13200,주류,카스,4400,1,4400
2311139806238947,2023.11.13 01:23:59,16500,주류,하이네켄,5500,3,16500
2311129800521292,2023.11.12 23:48:41,15400,주류,하이네켄,5500,2,11000
2311129800521292,2023.11.12 23:48:41,15400,주류,카스,4400,1,4400
2311129794043665,2023.11.12 22:00:42,21000,스낵,토레스 셀렉타 블랙트러플 감자칩,10000,1,10000
2311129794043665,2023.11.12 22:00:42,21000,주류,하이네켄,5500,2,11000
2311129720264619,2023.11.12 01:31:05,28800,스낵,머거본 믹스너트,8800,1,8800
2311129720264619,2023.11.12 01:31:05,28800,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311119714015994,2023.11.11 23:46:56,14000,스낵,커널스 카라멜&쏠트 팝콘,3000,2,6000
2311119714015994,2023.11.11 23:46:56,14000,음료,로리나 핑크 레모네이드,4000,2,8000
2311119712587713,2023.11.11 23:23:08,2200,잡화,친환경 칫솔,2200,1,2200
2311119712451665,2023.11.11 23:20:51,11000,주류,하이네켄,5500,2,11000
2311119711620465,2023.11.11 23:07:02,2200,잡화,페리오 치약,2200,1,2200
2311119711459630,2023.11.11 23:04:20,11000,주류,하이네켄,5500,2,11000
2311119710935252,2023.11.11 22:55:36,2200,잡화,친환경 칫솔,2200,1,2200
2311119708401706,2023.11.11 22:13:22,3500,음료,스타벅스 더블샷 에스프레소&크림,3500,1,3500
2311119705691046,2023.11.11 21:28:11,4400,음료,코카콜라,2200,2,4400
2311119702952987,2023.11.11 20:42:34,14000,음료,코카콜라,2200,1,2200
2311119702952987,2023.11.11 20:42:34,14000,스낵,커널스 카라멜&쏠트 팝콘,3000,1,3000
2311119702952987,2023.11.11 20:42:34,14000,주류,카스,4400,2,8800
2311119701523411,2023.11.11 20:18:44,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311119697962850,2023.11.11 19:19:24,2200,잡화,친환경 칫솔,2200,1,2200
2311119695905845,2023.11.11 18:45:06,8800,주류,카스,4400,2,8800
2311119694378614,2023.11.11 18:19:39,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311119693827787,2023.11.11 18:10:28,4400,잡화,친환경 칫솔,2200,1,2200
2311119693827787,2023.11.11 18:10:28,4400,잡화,페리오 치약,2200,1,2200
2311119660066450,2023.11.11 08:47:47,2200,음료,코카콜라,2200,1,2200
2311119654237615,2023.11.11 07:10:37,2200,잡화,페리오 치약,2200,1,2200
2311119645110083,2023.11.11 04:38:30,20000,주류,아리랑 수제 캔맥주세트(4종),20000,1,20000
2311119640855591,2023.11.11 03:27:35,2200,잡화,페리오 치약,2200,1,2200
